"Search for...";"Search products you are looking for.."
"ACTIVITYPOINTS_HELP_EARN1";"You can gain Earned Bridges in Indian Currency by participating in our Selection Training Seminar at Chennai,India. If you are of age 25 & above but below 65 and having an educational qualification not less than 12th standard:To know more about earn@home opportunity, email to mail@wolmal.com

"
"(UTC+5:30) Bombay, Calcutta, New Delhi";"(UTC+5:30) Chennai, Bombay, Calcutta, New Delhi"
"(UTC+5:30) Bombay, Calcutta, New Delhi";"(UTC+5:30) Chennai, Mumbai, Kolkata, New Delhi"
"Take the power to make it perfect";"Unique Social Medium With Unified Ecommerce Portal "
"Share your findings, discover new people, find your better half. Everything in the same place!";"Age 13 & Above Sign Up FREE Account  Go RAMP   LIKE COMMENT SHARE   HANDSHAKE Friends   Gain BRIDGES Collect PRODUCTS! EARN Money!"
"Share your findings, discover new people, find your better half. Everything in the same place!";"Age 13 & Above Can Sign Up For FREE Account Now!  Go To RAMP!   LIKE! COMMENT! SHARE!   Refer Friends!   Gain BRIDGES Everyday! Redeem Or Encash! Collect PRODUCTS! EARN Online Money!"
"Share your findings, discover new people, find your better half. Everything in the same place!";"Age 13 & Above Can Sign Up For FREE Account Now!  Go To RAMP!   LIKE! COMMENT! SHARE!   Refer Friends!   Gain BRIDGES Everyday! Redeem Or Encash! Collect PRODUCTS! EARN Online!"
"Share your findings, discover new people, find your better half. Everything in the same place!";"Age 13 & Above Can Sign Up For FREE Account Now!  Go To RAMP!   LIKE! COMMENT! SHARE!   Refer Friends!   Gain BRIDGES! Redeem Or Encash! Collect PRODUCTS! EARN Online!"
"Take the power to make it perfect";"Social Ecommerce ! Unique Social Medium With Unified Ecommerce Portal !"
"Share your findings, discover new people, find your better half. Everything in the same place!";"Indian Citizen of Age 13 & above can Sign Up For FREE Account Now!  Go to RAMP!   LIKE! COMMENT! SHARE!   Refer Friends!   Gain BRIDGES!  Review PRODUCTS!  Redeem Or Encash! Fill Your Vallet Online! Everyday!!!"
"Create Account";"Create  FREE Account"
"ADMIN_SIGNUP_STEP_USER_PLUGIN_SIGNUP_ACCOUNT";"Create Account"
"Step 1: Create Account";"Step 1: Create Account"
"Register for Free";"Register Your Free Account Now!"
"Member Login";"Member Login"
"Register for Free";"Register For Free Account "
"Take the power to make it perfect";"Social Ecommerce ! Unique Social Medium With Unified Ecommerce !"
"Share your findings, discover new people, find your better half. Everything in the same place!";"Indian Citizen of Age 13 & above can Sign Up For FREE Account Now!  Then Go to RAMP!   LIKE! COMMENT! SHARE!   Refer Friends by HANDSHAKE!   Gain BRIDGES!  Review PRODUCTS!  Redeem Or Encash! Fill Your Vallet! Click SHOWCASES to Meet New People!"
"Share your findings, discover new people, find your better half. Everything in the same place!";"Indian Citizen of Age 13 & above can Sign Up For FREE Account Now!  Then Go to RAMP!   LIKE! COMMENT! SHARE!   Refer Friends by HANDSHAKE!   Gain BRIDGES!  Review PRODUCTS!  Fill Your Vallet! Redeem or Encash! Meet Friends@SHOWCASES Menu!"
"_CORE_TERMS_OF_SERVICE";"<b>1. Introduction</b></br>
1.1 These terms and conditions shall govern your use of our website.</br>
1.2 By using our website, you accept these terms and conditions in full; accordingly, if you disagree with these terms and conditions or any part of these terms and conditions, you must not use our website.</br>
1.3 If you [register with our website, submit any material to our website or use any of our website services], we will ask you to expressly agree to these terms and conditions.</br>
1.4 [You must be at least [13] years of age to use our website; and by using our website or agreeing to these terms and conditions, you warrant and represent to us that you are at least [13] years of age.]</br>
1.5 [Our website uses cookies; by using our website or agreeing to these terms and conditions, you consent to our use of cookies in accordance with the terms of our [privacy and cookies policy].]</br></br>
<b>2. Credit</b></br>
2.1 This document was created in India</br></br>
<b>3. Copyright notice</b></br>
3.1 Copyright (c) [year(s) of first publication] [full name].</br>
3.2 Subject to the express provisions of these terms and conditions:</br>
(a) we, together with our licensors, own and control all the copyright and other intellectual property rights in our website and the material on our website; and</br>
(b) all the copyright and other intellectual property rights in our website and the material on our website are reserved.</br></br>
<b>4. Licence to use website</b></br>
4.1 You may:</br>
(a) view pages from our website in a web browser;</br>
(b) download pages from our website for caching in a web browser;</br>
(c) purchase products, print pages from our website;</br>
(d) [stream audio and video files from our website; and]</br>
(e) [use [our website services] by means of a web browser,]</br>
subject to the other provisions of these terms and conditions.</br>
4.2 Except as expressly permitted by Section 4.1 or the other provisions of these terms and conditions, you must not download any material from our website or save any such material to your computer.</br>
4.3 [You may only use our website for [your own personal and business purposes], and you must not use our website for any other purposes.]</br>
4.4 Except as expressly permitted by these terms and conditions, you must not edit or otherwise modify any material on our website.</br>
4.5 Unless you own or control the relevant rights in the material, you must not:</br>
(a) republish material from our website (including republication on another website);</br>
(b) sell, rent or sub-license material from our website;</br>
(c) show any material from our website in public;</br>
(d) exploit material from our website for a commercial purpose; or</br>
(e) redistribute material from our website.</br>
4.6 [Notwithstanding Section 4.5, you may redistribute [our newsletter] in [print and electronic form] to [any person].]</br>
4.7 We reserve the right to restrict access to areas of our website, or indeed our whole website, at our discretion; you must not circumvent or bypass, or attempt to circumvent or bypass, any access restriction measures on our website.</br></br>
<b>5. Acceptable use</b></br>
5.1 You must not:</br>
(a) use our website in any way or take any action that causes, or may cause, damage to the website or impairment of the performance, availability or accessibility of the website;</br>
(b) use our website in any way that is unlawful, illegal, fraudulent or harmful, or in connection with any unlawful, illegal, fraudulent or harmful purpose or activity;</br>
(c) use our website to copy, store, host, transmit, send, use, publish or distribute any material which consists of (or is linked to) any spyware, computer virus, Trojan horse, worm, keystroke logger, rootkit or other malicious computer software;</br>
(d) conduct any systematic or automated data collection activities (including without limitation scraping, data mining, data extraction and data harvesting) on or in relation to our website without our express written consent;</br>
(e) [access or otherwise interact with our website using any robot, spider or other automated means;]</br>
(f) [violate the directives set out in the robots.txt file for our website; or]</br>
(g) [use data collected from our website for any direct marketing activity (including without limitation email marketing, SMS marketing, telemarketing and direct mailing).]</br>
5.2 [You must not use data collected from our website to contact individuals, companies or other persons or entities.]</br>
5.3 [You must ensure that before applying for a Showroom or a Franchise Center, Your age on the date of application should be not less than 21 years and not more than 65 years and also ensure that You are fully aware of the Rules and Regulations, Policies and Procedures and Payment of Money and Refund policies properly and concerned documents should be collected in advance from our offices at Chennai in India at the address at WOLMAL, #726, Annasalai, Nandanam, Chennai PIN 600035 and be fully satisfied]</br>
5.4 You must ensure that all the information you supply to us through our website, or in relation to our website, is [true, accurate, current, complete and non-misleading].</br>
<b>6. Registration and accounts</b></br>
6.1 [To be eligible for an individual account on our website under this Section 6, you must [be at least 13 years of age and citizen and resident in India]</br>
6.2 You may register for an account with our website by [completing and submitting the account registration form on our website, and clicking/typing on the verification password/message that the website will send to you by email or phone].</br>
6.3 You must notify us in writing immediately if you become aware of any unauthorised use of your account.
6.4 You must not use any other person's account to access the website[, unless you have that person's express permission to do so].</br>
<b>7. User IDs and passwords</b></br>
7.1 If you register for an account with our website, [we will provide you with / you will be asked to choose] a user ID and password.</br>
7.2 Your user ID must not be liable to mislead and must comply with the content rules set out in Section 10; you must not use your account or user ID for or in connection with the impersonation of any person. </br>
7.3 You must keep your password confidential.</br>
7.4 You must notify us in writing immediately if you become aware of any disclosure of your password.</br>
7.5 You are responsible for any activity on our website arising out of any failure to keep your password </br>confidential, and may be held liable for any losses arising out of such a failure.
<b>8. Cancellation and suspension of account</b></br>
8.1 We may:</br>
(a) suspend your account</br>
(b) cancel your account; and/or</br>
(c) edit your account details,</br>
at any time in our sole discretion without notice or explanation.</br>
8.2 You may cancel your account on our website [using your account control panel settings on the website].</br></br>
<b>9. Your content: licence</b></br>
9.1 In these terms and conditions, ""your content"" means all works and materials (including without limitation text, graphics, images, audio material, video material, audio-visual material, scripts, software and files) that you submit to us or our website for storage or publication on, processing by, or transmission via, our website.</br>
9.2 You grant to us a [worldwide, irrevocable, non-exclusive, royalty-free licence] to [use, reproduce, store, adapt, publish, translate and distribute your content in any existing or future media / reproduce, store and publish your content on and in relation to this website and any successor website / reproduce, store and, with your specific consent, publish your content on and in relation to this website].</br>
9.3 You grant to us the right to sub-license the rights licensed under Section 9.2.</br>
9.4 [You grant to us the right to bring an action for infringement of the rights licensed under Section 9.2.]</br>
9.5 [You hereby waive all your moral rights in your content to the maximum extent permitted by applicable law; and you warrant and represent that all other moral rights in your content have been waived to the maximum extent permitted by applicable law.]</br>
9.6 [You may edit your content to the extent permitted using the editing functionality made available on our website.]</br>
9.7 Without prejudice to our other rights under these terms and conditions, if you breach any provision of these terms and conditions in any way, or if we reasonably suspect that you have breached these terms and conditions in any way, we may delete, unpublish or edit any or all of your content.</br>
<b>10. Your content rules</b></br>
10.1 You warrant and represent that your content will comply with these terms and conditions.</br>
10.2 Your content must not be illegal or unlawful, must not infringe any person's legal rights, and must not be capable of giving rise to legal action against any person (in each case in any jurisdiction and under any applicable law).</br>
10.3 Your content, and the use of your content by us in accordance with these terms and conditions, must not:</br>
(a) be libellous or maliciously false</br>
(b) be obscene or indecent</br>
(c) infringe any copyright moral right, database right, trade mark right, design right, right in passing off, or other intellectual property right</br>
(d) infringe any right of confidence, right of privacy or right under data protection legislation;</br>
(e) constitute negligent advice or contain any negligent statement;</br>
(f) constitute an incitement to commit a crime,[instructions for the commission of a crime or the promotion of criminal activity</br>
(g) be in contempt of any court, or in breach of any court order</br>
(h) be in breach of racial or religious hatred or discrimination legislation</br>
(i) be blasphemous;</br>
(j) be in breach of official secrets legislation</br>
(k) be in breach of any contractual obligation owed to any person</br>
(l) depict violence, [in an explicit, graphic or gratuitous manner</br>
(m) be pornographic, [lewd, suggestive or sexually explicit]</br>
(n) be untrue, false, inaccurate or misleading</br>
(o) consist of or contain any instructions, advice or other information which may be acted upon and could, if acted upon, cause illness, injury or death, or any other loss or damage</br>
(p) constitute spam</br>
(q) be offensive, deceptive, fraudulent, threatening, abusive, harassing, anti-social, menacing, hateful, discriminatory or inflammatory; or</br>
(r) cause annoyance, inconvenience or needless anxiety to any person.</br></br>
<b>11. Limited warranties</b></br>
11.1 We do not warrant or represent:</br>
(a) the completeness or accuracy of the information published on our website</br>
(b) that the material on the website is up to date; or</br>
(c) that the website or any service on the website will remain available.</br>
11.2 We reserve the right to discontinue or alter any or all of our website services, and to stop publishing our website, at any time in our sole discretion without notice or explanation; and save to the extent expressly provided otherwise in these terms and conditions, you will not be entitled to any compensation or other payment upon the discontinuance or alteration of any website services, or if we stop publishing the website.</br>
11.3 To the maximum extent permitted by applicable law and subject to Section </br>
<b>12. Limitations and exclusions of liability</b></br></br>
12.1, we exclude all representations and warranties relating to the subject matter of these terms and conditions, our website and the use of our website.</br>
12.2 Nothing in these terms and conditions will:</br>
(a) limit or exclude any liability for death or personal injury resulting from negligence</br>
(b) limit or exclude any liability for fraud or fraudulent misrepresentation</br>
(c) limit any liabilities in any way that is not permitted under applicable law; or
(d) exclude any liabilities that may not be excluded under applicable law.</br>
12.2 The limitations and exclusions of liability set out in this Section 12 and elsewhere in these terms and conditions: 
(a) are subject to Section 12.1; and</br>
(b) govern all liabilities arising under these terms and conditions or relating to the subject matter of these terms and conditions, including liabilities arising in contract, in tort (including negligence) and for breach of statutory duty.</br>
12.3 To the extent that our website and the information and services on our website are provided free of charge, we will not be liable for any loss or damage of any nature.</br>
12.4 We will not be liable to you in respect of any losses arising out of any event or events beyond our reasonable control.</br>
12.5 We will not be liable to you in respect of any business losses, including (without limitation) loss of or damage to profits, income, revenue, use, production, anticipated savings, business, contracts, commercial opportunities or goodwill.</br>
12.6 We will not be liable to you in respect of any loss or corruption of any data, database or software.</br>
12.7 We will not be liable to you in respect of any special, indirect or consequential loss or damage.</br>
12.8 We will not be liable and you agree that you will not bring any claim personally against our officers or employees in respect of any losses you suffer in connection with the website or these terms and conditions </br>
13. Breaches of these terms and conditions</br>
13.1 Without prejudice to our other rights under these terms and conditions, if you breach these terms and conditions in any way, or if we reasonably suspect that you have breached these terms and conditions in any way, we may: </br>
(a) send you one or more formal warnings;</br>
(b) temporarily suspend your access to our website;</br>
(c) permanently prohibit you from accessing our website;</br>
(d) block computers using your IP address from accessing our website;</br>
(e) contact any or all your internet service providers and request that they block your access to our website;</br>
(f) commence legal action against you, whether for breach of contract or otherwise; and/or</br>
(g) suspend or delete your account on our website.</br>
13.2 Where we suspend or prohibit or block your access to our website or a part of our website, you must not take any action to circumvent such suspension or prohibition or blocking (including without limitation creating and/or using a different account).</br></br>
<b>14. Variation</b></br>
14.1 We may revise these terms and conditions from time to time.</br>
14.2 The revised terms and conditions shall apply to the use of our website from the date of publication of the revised terms and conditions on the website, and you hereby waive any right you may otherwise have to be notified of, or to consent to, revisions of these terms and conditions. / We will publish any revision of these terms and conditions, and the revised terms and conditions will apply to the use of our website from the date of publication. If you do not agree to the revised terms and conditions, you must stop using our website.</br>
14.3 If you have given your express agreement to these terms and conditions, we may or may not ask for your express agreement to any revision of these terms and conditions; and if we ask and you do not give your express agreement to the revised terms and conditions within such period as we may specify, we will disable or delete your account on the website, and you must stop using the website.</br></br>
<b>15. Assignment</b></br>
15.1 You hereby agree that we may assign, transfer, sub-contract or otherwise deal with our rights and/or obligations under these terms and conditions. </br>
15.2 You may not without our prior written consent assign, transfer, sub-contract or otherwise deal with any of your rights and/or obligations under these terms and conditions. </br>
<b>16. Severability</b></br>
16.1 If a provision of these terms and conditions is determined by any court or other competent authority to be unlawful and/or unenforceable, the other provisions will continue in effect.</br>
16.2 If any unlawful and/or unenforceable provision of these terms and conditions would be lawful or enforceable if part of it were deleted, that part will be deemed to be deleted, and the rest of the provision will continue in effect. </br></br>
<b>17. Third party rights</b></br>
17.1 These terms and conditions are for our benefit and your benefit, and these terms and conditions are not intended to benefit or be enforceable by any third party.</br>
17.2 The exercise of the parties' rights under these terms and conditions is not subject to the consent of any third party.</br></br>
<b>18. Entire agreement</b></br>
18.1 Subject to Section 12.1, these terms and conditions, together with [our privacy and cookies policy], shall constitute the entire agreement between you and us in relation to your use of our website and shall supersede all previous agreements between you and us in relation to your use of our website.</br></br>

<b>19. Law and jurisdiction</b></br>
19.1 These terms and conditions shall be governed by and construed in accordance with [INDIAN law].</br>
19.2 Any disputes relating to these terms and conditions shall be subject to the [exclusive / non-exclusive] jurisdiction of the courts of [Chennai in INDIA].</br>"
"I agree with the %1$sterms and conditions%2$s.";"I agree with the %1$sterms and conditions%2$s."
"%s store Terms and Conditions";"%s Showroom Terms and Conditions"
"1.2 By using our website, you accept these terms and conditions in full";" accordingly, if you disagree with these terms and conditions or any part of these terms and conditions, you must not use our website.</br>"
"1.4 [You must be at least [13] years of age to use our website";" and by using our website or agreeing to these terms and conditions, you warrant and represent to us that you are at least [13] years of age.]</br>"
"1.5 [Our website uses cookies";" by using our website or agreeing to these terms and conditions, you consent to our use of cookies in accordance with the terms of our [privacy and cookies policy].]</br></br>"
"11.2 We reserve the right to discontinue or alter any or all of our website services, and to stop publishing our website, at any time in our sole discretion without notice or explanation";" and save to the extent expressly provided otherwise in these terms and conditions, you will not be entitled to any compensation or other payment upon the discontinuance or alteration of any website services, or if we stop publishing the website.</br>"
"14.3 If you have given your express agreement to these terms and conditions, we may or may not ask for your express agreement to any revision of these terms and conditions";" and if we ask and you do not give your express agreement to the revised terms and conditions within such period as we may specify, we will disable or delete your account on the website, and you must stop using the website.</br></br>"
"  'I have read and agree to the <a href=\'javascript:void(0)";"\' onclick=window.open(\'%s\',\'mywindow\',\'width=500,height=500\')>terms of service</a>.' => 'I have read and agree to the <a href=\'javascript:void(0)";"\' onclick=window.open(\'%s\',\'mywindow\',\'width=500,height=500\')>terms of service</a>.',"
"_EMAIL_PAYMENT_SUBSCRIPTION_ACTIVE_BODY";"[header]

Thank you for subscribing to our social network! Your subscription is now active.

[subscription_title]
[subscription_description]
[subscription_terms]

You may follow the link below to sign in.

[object_link]

[footer]"
"_EMAIL_PAYMENT_SUBSCRIPTION_CANCELLED_BODY";"[header]

Your subscription has been cancelled.

[subscription_title]
[subscription_description]
[subscription_terms]

Please follow the link below to renew your subscription.

[object_link]

[footer]"
"_EMAIL_PAYMENT_SUBSCRIPTION_EXPIRED_BODY";"[header]

Your subscription has expired.

[subscription_title]
[subscription_description]
[subscription_terms]

Please follow the link below to renew your subscription.

[object_link]

[footer]"
"_EMAIL_PAYMENT_SUBSCRIPTION_OVERDUE_BODY";"[header]

Your subscription is overdue because of a failed or missed payment.

[subscription_title]
[subscription_description]
[subscription_terms]

Please follow the link below to renew your subscription.

[object_link]

[footer]"
"_EMAIL_PAYMENT_SUBSCRIPTION_RECURRENCE_BODY";"[header]

Your subscription has been billed. You should receive an email from the
payment gateway regarding this charge. Thank you for subscribing to our social
network.

[subscription_title]
[subscription_description]
[subscription_terms]

You may follow the link below to sign in.

[object_link]

[footer]"
"_EMAIL_PAYMENT_SUBSCRIPTION_REFUNDED_BODY";"[header]

Your subscription has been refunded and is no longer active.

[subscription_title]
[subscription_description]
[subscription_terms]

You may follow the link below to sign in.

[object_link]

[footer]"
"Terms of Service";"Terms of Service"
"You must agree to the terms of service to continue.";"You must agree to the terms of service to continue."
"Terms of claiming a Store";"Terms of claiming a Showroom"
"STORE_TERMS_CLAIM_1";"By clicking the ""Send"" button, you hereby assert that you are either the owner, manager, employee or associate of the Showroom, service or interest and have the express authority to own and/or manage the Showroom on this site."
"STORE_TERMS_CLAIM_2";"The website admin reserves the right to revoke or transfer ownership of this Showroom for any reason including, but not limited to, inaccurate ownership identification, misrepresentation of Showroom information and abusive spamming activity."
"Select a package that best matches your requirements. Packages differ in terms of features available to stores created under them. You can change your package anytime later.";"Select a package that best matches your requirements. Packages differ in terms of features available to Showrooms created under them. You can change your package anytime later."
"TERM OF CLAIM";"Terms of claiming a Showroom"
"I have read and agree to the <a href='javascript:void(0);' onclick=window.open('%s','mywindow','width=500,height=500')>terms of service</a>.";"I have read and agree to the <a href='javascript:void(0);' onclick=window.open('%s','mywindow','width=500,height=500')>terms of service</a>."
"c) Check on the 'Terms of Use' checkbox.";"c) Check on the 'Terms of Use' checkbox."
"Click on the 'I agree to the Terms and Service' button.";"Click on the 'I agree to the Terms and Service' button."
"I have read and agree to the <a target=""_blank"" href=""%s/help/terms"">terms of service</a>.";"I have read and agree to the <a target=""_blank"" href=""%s/help/terms"">terms of service</a>."
"%s to read the terms of services.";"%s to read the terms of services."
"%1sClick here%2s to read the terms of service";"%1sClick here%2s to read the terms of service"
"ACTIVITYPOINTS_HELP_EARN1";"You can gain Earned Bridges (EB) in Indian Currency by participating in our Selection Training Seminar to become A BRAND AMBASSADOR at Chennai,India. If you are of age 21 & above but below 65 and having an educational qualification not less than 12th standard:To know more about earn@home opportunity, email to mail@wolmal.com

"
